date,subs
2012-10-29,18573
2012-10-30,18599
2012-10-31,18629
2012-11-01,18657
2012-11-02,18680
2012-11-03,18705
2012-11-04,18824
2012-11-05,18936
2012-11-06,18991
2012-11-07,19020
2012-11-08,19073
2012-11-09,19107
2012-11-10,19158
2012-11-11,19191
2012-11-12,19227
2012-11-13,19264
2012-11-14,19313
2012-11-15,19354
2012-11-16,19521
2012-11-17,19582
2012-11-18,19726
2012-11-19,19823
2012-11-20,19891
2012-11-21,19960
2012-11-22,20011
2012-11-23,20053
2012-11-24,20091
2012-11-25,20240
2012-11-26,20472
2012-11-27,20610
2012-11-28,20682
2012-11-29,20729
2012-11-30,20774
2012-12-01,20795
2012-12-02,20848
2012-12-03,20895
2012-12-04,20937
2012-12-05,20968
2012-12-06,21000
2012-12-07,21027
2012-12-08,21048
2012-12-09,21073
2012-12-10,21093
2012-12-11,21125
2012-12-12,21162
2012-12-13,21225
2012-12-14,21247
2012-12-15,21270
2012-12-16,21294
2012-12-17,21316
2012-12-18,21335
2012-12-19,21359
2012-12-20,21388
2012-12-21,21396
2012-12-22,21421
2012-12-23,21447
2012-12-24,21461
2012-12-25,21476
2012-12-26,21516
2012-12-27,21546
2012-12-28,21568
2012-12-29,21594
2012-12-30,21613
2012-12-31,21635
2013-01-01,21654
2013-01-02,21679
2013-01-03,21707
2013-01-04,21729
2013-01-05,21769
2013-01-06,21794
2013-01-07,21813
2013-01-08,21839
2013-01-09,21867
2013-01-10,21913
2013-01-11,21974
2013-01-12,22006
2013-01-13,22034
2013-01-14,22077
2013-01-15,22096
2013-01-16,22127
2013-01-17,22163
2013-01-18,22181
2013-01-19,22212
2013-01-20,22256
2013-01-21,22284
2013-01-22,22312
2013-01-23,22339
2013-01-24,22366
2013-01-25,22414
2013-01-26,22444
2013-01-27,22480
2013-01-28,22562
2013-01-29,22615
2013-01-30,22651
2013-01-31,22690
2013-02-01,22735
2013-02-02,22782
2013-02-03,22833
2013-02-04,22872
2013-02-05,22929
